	2-1-10-T0-T	2-1-10-T1-T	2-1-10-T2-T	2-1-10-T3-T	2-1-5-T-minus-1	2-1-5-T1-T	2-1-5-T2-T	2-1-5-T3-T	2-1-6-T0-T	2-1-6-T3-T	2-1-8-T0-T	2-1-8-T1-T	2-1-8-T2-T	2-1-8-T3-T	2-2-2-T0-C	2-2-2-T1-C	2-2-2-T2-C	2-2-2-T3-C	2-2-4-T0-C	2-2-4-T1-C	2-2-4-T3-C	2-2-9-T0-C	2-2-9-T1-C	2-2-9-T3-C	3-1-1-T0-T	3-1-1-T1-T	3-1-1-T2-T	3-1-1-T3-T	3-1-2-T0-T	3-1-2-T1-T	3-1-2-T3-T	3-1-3-T0-T	3-1-3-T1-T	3-1-3-T2-T	3-1-3-T3-T	3-1-6-T-minus-1	3-1-6-T0-T	3-1-6-T1-T	3-1-6-T2-T	3-1-6-T3-T	3-3-1-T0-C	3-3-1-T1-C	3-3-1-T2-C	3-3-1-T3-C	3-3-3-T0-C	3-3-3-T1-C	3-3-3-T2-C	3-3-3-T3-C	3-3-4-T-minus-1	3-3-4-T0-C	3-3-4-T1-C	3-3-4-T2-C	3-3-4-T3-C	7-4-10-T2-T	7-4-4-T1-T	7-4-4-T2-T	7-4-4-T3-T	7-4-5-T2-T	7-4-5-T3-T	7-4-8-T0-T	7-4-8-T1-T	7-4-8-T2-T	7-4-8-T3-T	7-6-1-T0	7-6-2-T2-C	7-6-8-T1-C	8-4-1-T2-T	8-4-4-T0-T	8-4-4-T1-T	8-4-6-T1-T	8-4-6-T3-T	8-4-9-T0-T	8-4-9-T1-T	8-4-9-T3-T	8-5-4-T0-C	8-5-5-T0-C	8-6-10-T1-C	8-6-4-T2-C	8-6-5-T1-C	8-6-5-T2-C	8-6-5-T3-C	Cyclops-3	pop1-1	pop1-10	pop1-2	pop1-3	pop1-4	pop1-6	pop1-7	pop1-8	pop1-9	pop10-1	pop10-10	pop10-2	pop10-3	pop10-4	pop10-5	pop10-6	pop10-7	pop10-8	pop10-9	pop11-1	pop11-10	pop11-2	pop11-3	pop11-4	pop11-5	pop11-6	pop11-7	pop11-8	pop11-9	pop12-2	pop12-5	pop12-9	pop2-4	pop2-5	pop3-4	pop4-1	pop4-10	pop4-2	pop4-3	pop4-4	pop4-6	pop4-7	pop4-8	pop4-9	pop5-1	pop5-10	pop5-2	pop5-3	pop5-4	pop5-5	pop5-6	pop5-8	pop5-9	pop6-1	pop6-10	pop6-2	pop6-3	pop6-4	pop6-5	pop6-6	pop6-7	pop6-8	pop6-9	pop7-1	pop7-10	pop7-2	pop7-3	pop7-4	pop7-5	pop7-6	pop7-7	pop7-8	pop7-9	pop8-2	pop8-3	pop8-4	pop8-5	pop8-6	pop8-7	pop8-8	pop8-9	pop9-1	pop9-10	pop9-2	pop9-4	pop9-5	pop9-6	pop9-7	pop9-8	pop9-9	WMC-T0	WMC-T1	WMC-T2	WMC-T3	WMT-T0	WMT-T1	WMT-T2	WMT-T3	WPC-T0	WPC-T1	WPC-T2	WPC-T3	WPT-T0	WPT-T1	WPT-T2	WPT-T3
ASV_1	7259	6547	2909	8667	1497	4573	4086	8634	836	9890	6679	6084	617	16952	7295	10090	2299	11975	4393	2555	3363	4062	2264	1175	952	167	367	625	981	1105	1195	460	1205	523	2760	585	2366	1759	2479	1238	447	727	221	3342	495	1869	201	2052	588	1004	2234	1245	3037	8210	6087	3861	3603	649	2654	5769	6526	5218	5414	4687	1631	295	2523	563	1957	3883	3211	594	3068	1045	716	441	961	1602	1154	1360	643	0	2010	614	3806	1618	4993	2356	1621	3328	5492	12236	1174	6198	1180	4120	2558	9124	3346	2579	8248	575	1282	9900	11175	3314	481	12929	12920	1565	696	17	0	10	3047	2097	15	2842	13346	3386	9493	11157	1711	7279	1319	10075	3133	1182	3579	913	1017	681	2394	3565	2637	6517	2426	8564	10203	2880	5199	9518	4548	1574	1185	1109	1053	4196	1822	5491	3794	4038	3357	7252	5026	603	2943	9047	993	1277	2184	1598	924	8277	10265	1002	4540	993	2477	1236	3143	1641	2	0	3	44	2	0	0	3	0	1	0	0	0	1	3	0
ASV_2	3034	2389	179	501	528	2975	2441	3531	2055	2579	4945	2754	1027	2674	3254	1160	532	1326	1525	763	1238	3149	1007	1554	9895	1427	315	2422	1350	2572	2651	3705	1614	2818	4995	1665	5210	1932	1871	1233	2816	2204	762	1859	633	2461	1266	1862	1678	1715	820	1011	741	870	466	515	1164	1415	3236	1870	1417	1218	1383	1103	1792	575	3476	1564	1125	3286	979	2601	933	864	2239	3684	1200	976	1836	3057	895	0	156	142	38	13	99	62	91	139	92	1535	1155	2762	173	1368	1029	1680	752	861	1483	122	994	1454	1079	1064	1239	852	832	1799	240	15	7	8	69	74	98	22	172	96	57	44	39	127	29	57	262	112	57	26	56	104	209	278	146	125	116	187	135	146	273	185	61	98	40	234	194	94	119	148	245	111	77	140	156	207	118	129	33	76	161	192	170	173	229	35	117	56	138	87	224	134	1	0	0	0	1	0	1	1	0	1	0	0	0	1	2	0
ASV_3	164	58	87	131	92	165	131	94	166	112	133	87	251	81	183	170	166	125	258	121	411	255	81	102	294	152	360	5559	116	165	499	193	148	195	330	23	232	250	1948	81	200	282	319	129	110	121	172	174	55	180	181	142	156	36	80	42	96	214	348	58	74	56	150	89	193	153	109	31	73	24	163	109	90	192	46	70	71	84	76	99	234	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	85	100	480	157	119	426	62	76	206	91	2317	45	83	26	66
ASV_4	185	110	115	175	7	23	110	42	45	190	93	36	2	49	222	204	364	258	179	160	582	131	177	154	21	0	2	0	2	0	1	3	0	5	0	5	5	40	0	88	1	15	0	4	0	50	34	1	0	0	33	29	24	94	333	65	155	439	94	404	1040	402	209	1300	401	91	469	254	238	255	212	592	741	337	33	84	114	71	129	207	151	0	26	0	0	2	1	6	9	0	0	13	0	18	7	2	2	23	9	6	9	4	10	38	47	21	3	32	9	5	1	3	0	0	0	25	4	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	3	18	1	12	14	1	14	1	8	3	0	21	29	96	45	398	95	21	156	665	335	15	113	102	6	26	38	57	3	53	169	15	115	18	61	32	17	24	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
ASV_5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2	7	0	3	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	116	2398	165	191	148	4503	105	92	58	1717	19	199	119	4021	116
ASV_6	77	89	21	37	21	10	4	14	22	125	11	2	2	15	47	74	39	135	27	62	33	89	7	3	1	0	1	0	0	1	1	0	1	0	0	0	2	1	15	0	12	0	0	1	1	3	0	1	3	5	22	0	3	263	576	219	127	51	174	442	356	217	266	248	133	20	173	10	135	237	129	21	316	69	60	7	30	44	71	92	26	0	18	2	21	15	49	20	9	17	37	63	8	32	4	22	12	41	27	17	61	6	9	50	55	19	4	61	87	6	3	0	0	0	23	24	2	13	78	19	57	70	8	29	6	60	26	3	25	6	2	2	27	19	9	57	20	56	57	13	74	37	36	10	7	17	20	127	67	493	150	86	169	666	349	14	111	163	27	37	66	69	21	98	274	17	120	19	96	10	61	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	804	938	611	566	785	480	808	517	364	243	245	172	606	541	858	763
ASV_8	66	27	43	58	9	33	39	32	73	55	40	44	89	65	71	60	87	38	127	54	161	76	40	62	128	16	140	2027	29	97	192	109	88	85	60	11	90	88	656	35	42	93	75	75	53	53	54	51	13	55	64	60	98	13	28	10	18	83	146	17	13	5	26	35	42	73	39	17	44	8	85	33	8	69	22	18	14	27	30	26	80	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	39	67	194	52	62	71	7	24	42	16	703	7	47	15	6
ASV_9	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	166	113	63	106	255	195	707	644	491	614	316	232	31	129	569	234	171	137	74	365	102	60	51	190	149	61	191	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	35	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	35	28	112	219	114	51	42	377	167	1	10	35	7	32	8	19	18	40	65	9	31	2	12	13	19	21	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ASV_10	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	32	9	0	0	20	0	0	6	0	11	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	32	0	0	0	0	0	0	237	2	0	0	7449	50
