	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_164	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	[Caedibacter] taeniospiralis group	[Caedibacter] taeniospiralis group_sp.
ASV_184	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	[Caedibacter] taeniospiralis group	[Caedibacter] taeniospiralis group_sp.
ASV_3555	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	[Caedibacter] taeniospiralis group	[Caedibacter] taeniospiralis group_sp.
ASV_362	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_408	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_538	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_671	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_754	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_1295	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_2818	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_4814	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_5233	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_7142	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group_NA	[Eubacterium] coprostanoligenes group_NA
ASV_1044	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] nodatum group	[Eubacterium] nodatum group_sp.
ASV_1372	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	[Eubacterium] siraeum group	[Eubacterium] siraeum group_sp.
ASV_1896	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ventriosum group	[Eubacterium] ventriosum group_sp.
ASV_2046	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ventriosum group	[Eubacterium] ventriosum group_sp.
ASV_210	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_382	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_522	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_954	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_1101	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_1940	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_4784	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_4813	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_6706	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	[Eubacterium] xylanophilum group_sp.
ASV_3921	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gauvreauii group	[Ruminococcus] gauvreauii group_sp.
ASV_6760	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gauvreauii group	[Ruminococcus] gauvreauii group_sp.
ASV_2472	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] torques group	[Ruminococcus] torques group_sp.
ASV_3617	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_4645	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_4666	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_5461	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_5618	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_5935	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_6044	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_6080	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_6615	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_6679	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_NA	0319-6G20_NA	0319-6G20_NA
ASV_5516	Bacteria	Acidobacteriota	Blastocatellia	24-Nov	24-Nov_NA	24-Nov_NA	24-Nov_NA
ASV_4880	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14_NA	67-14_NA
ASV_6038	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14_NA	67-14_NA
ASV_1544	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_1853	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_1897	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_2471	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_2828	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_4176	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_5006	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_5364	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_7583	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	A2_sp.
ASV_5101	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_NA	A4b_NA
ASV_5652	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_NA	A4b_NA
ASV_6130	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_NA	A4b_NA
ASV_5027	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	A714019	A714019_sp.
ASV_219	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_434	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_1370	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_2220	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_3886	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_5235	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_5948	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_6819	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_7700	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1_NA	AB1_NA
ASV_4361	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	Abditibacterium_sp.
ASV_5513	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	Abditibacterium_sp.
ASV_1238	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_2591	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_2615	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_2830	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_3056	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_3321	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_3984	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_4659	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_6143	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_6513	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_6768	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_7313	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_8650	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_sp.
ASV_1891	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor_sp.
ASV_2659	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor_sp.
ASV_3171	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor_sp.
ASV_6210	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor_sp.
ASV_3606	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium_sp.
ASV_4239	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium_sp.
ASV_6867	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium_sp.
ASV_3609	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcaceae_NA	Acidaminococcaceae_NA
ASV_4350	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriales_NA	Acidobacteriales_NA	Acidobacteriales_NA
ASV_2723	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax_sp.
ASV_732	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_sp.
ASV_870	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_sp.
