sample	treament	idlab	rack	colony	time	treatment	color	population	region	temps	depth (m)	depth (range)	lat	lon	N14	N21	resistance_14	resistance_21	resitance_14_21	relative_resistance	type	
pop10-1	10.10.3	10.4.3	10.4	3	T-1	O	pred	Balun	Croatia	22.04	33_36	30_35	43.803889	15.255	30	100	Normal	Sensible	Tolerant	Resistant	coral	
pop10-2	10.11.3	10.5.3	10.5	3	T-1	O	pred	Balun	Croatia	22.04	33_36	30_35	43.803889	15.255	15	100	NormalR	Sensible	Tolerant	Resistant	coral	
pop10-3	10.11.5	10.5.5	10.5	5	T-1	O	pred	Balun	Croatia	22.04	33_36	30_35	43.803889	15.255	10	100	NormalR	Sensible	Tolerant	Resistant	coral	
pop10-4	10.11.8	10.5.8	10.5	8	T-1	O	pred	Balun	Croatia	22.04	33_36	30_35	43.803889	15.255	30	100	Normal	Sensible	Tolerant	Resistant	coral	
pop10-5	10.12.6	10.6.6	10.6	6	T-1	O	pred	Balun	Croatia	22.04	33_36	30_35	43.803889	15.255	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
pop10-6	10.10.1	10.4.1	10.4	1	T-1	O	pred	Balun	Croatia	22.04	33_36	30_35	43.803889	15.255	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop10-7	10.11.1	10.5.1	10.5	1	T-1	O	pred	Balun	Croatia	22.04	33_36	30_35	43.803889	15.255	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop10-8	10.12.4	10.6.4	10.6	4	T-1	O	pred	Balun	Croatia	22.04	33_36	30_35	43.803889	15.255	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop10-9	10.12.8	10.6.8	10.6	8	T-1	O	pred	Balun	Croatia	22.04	33_36	30_35	43.803889	15.255	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop10-10	10.12.9	10.6.9	10.6	9	T-1	O	pred	Balun	Croatia	22.04	33_36	30_35	43.803889	15.255	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop11-1	11.10.3	11.4.3	11.4	3	T-1	O	pred	Mana	Croatia	22.04	35	30_35	43.800278	15.266389	10	100	NormalR	Sensible	Tolerant	Resistant	coral	
